Happiness1 by UK, country, region, UA/ County in England, LADs in England, UAs in Wales, LAs in Scotland, LGDs in Northern Ireland, April 2014 to March 20152,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Per cent in each category on 11 point scale3:;;;;Average (mean) rating;Confidence limits (95%);;;;;;;;;;;;;;;Sample size;;;;;;;;;;;
;;;;Low;Medium;High;Very High;;Low;;;Medium;;;High;;;Very High;;;Average (mean) rating;;;;;;;;;;;;;;
;;;;0-4;5-6;7-8;9-10;;0-4;;;5-6;;;7-8;;;9-10;;;;;;;;;;;;;;;;;
Area Codes;Area names;;;;;;;;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;CV;Lower limit;Upper limit;;;;;;;;;;;;
E10000024;EAST MIDLANDS;Nottinghamshire;;8,29;16,87;34,71;40,14;7,57;11,77;6,37;10,20;8,67;13,99;19,74;5,27;31,11;38,31;4,68;36,45;43,84;1,12;7,40;7,74;980;;;;;;;;;;;
E07000170;EAST MIDLANDS;;Ashfield;x;x;x;x;7,61;x;x;x;x;x;x;x;x;x;x;x;x;2,81;7,18;8,04;130;;;;;;;;;;;
E07000171;EAST MIDLANDS;;Bassetlaw;x;x;x;x;7,81;x;x;x;x;x;x;x;x;x;x;x;x;2,62;7,40;8,22;150;;;;;;;;;;;
E07000172;EAST MIDLANDS;;Broxtowe;x;x;x;x;7,42;x;x;x;x;x;x;x;x;x;x;x;x;2,67;7,02;7,82;140;;;;;;;;;;;
E07000173;EAST MIDLANDS;;Gedling;x;x;x;x;7,62;x;x;x;x;x;x;x;x;x;x;x;x;2,71;7,20;8,03;140;;;;;;;;;;;
E07000174;EAST MIDLANDS;;Mansfield;x;x;x;x;7,51;x;x;x;x;x;x;x;x;x;x;x;x;4,25;6,87;8,16;120;;;;;;;;;;;
E07000175;EAST MIDLANDS;;Newark and Sherwood;x;x;x;x;7,41;x;x;x;x;x;x;x;x;x;x;x;x;3,15;6,94;7,88;140;;;;;;;;;;;
E07000176;EAST MIDLANDS;;Rushcliffe;x;x;x;x;7,62;x;x;x;x;x;x;x;x;x;x;x;x;2,39;7,26;7,99;150;;;;;;;;;;;
E12000005;WEST MIDLANDS;;;8,61;17,59;41,72;32,08;7,43;3,77;7,97;9,25;2,64;16,68;18,50;1,49;40,51;42,94;1,82;30,93;33,22;0,34;7,38;7,48;11 940;;;;;;;;;;;
E06000019;WEST MIDLANDS;Herefordshire, County of UA;;8,52;14,01;39,24;38,23;7,59;11,06;6,67;10,37;8,42;11,69;16,33;4,31;35,92;42,57;4,54;34,82;41,64;0,97;7,44;7,73;1 130;;;;;;;;;;;
E06000051;WEST MIDLANDS;Shropshire UA;;6,04;16,66;39,45;37,85;7,71;14,47;4,32;7,76;8,69;13,82;19,51;4,62;35,86;43,03;5,10;34,06;41,65;1,02;7,55;7,86;860;;;;;;;;;;;
E06000021;WEST MIDLANDS;Stoke-on-Trent UA;;10,29;19,21;41,21;29,29;7,28;12,71;7,71;12,86;10,43;15,27;23,15;5,71;36,58;45,85;7,60;24,91;33,68;1,36;7,08;7,47;600;;;;;;;;;;;
E06000020;WEST MIDLANDS;Telford and Wrekin UA;;10,12;18,46;35,73;35,69;7,42;13,00;7,53;12,71;8,31;15,44;21,48;5,38;31,95;39,51;6,10;31,41;39,97;1,36;7,22;7,62;830;;;;;;;;;;;
E10000028;WEST MIDLANDS;Staffordshire;;9,90;16,53;39,53;34,04;7,45;11,30;7,70;12,09;8,64;13,73;19,34;4,58;35,97;43,10;5,24;30,53;37,54;1,07;7,29;7,61;1 000;;;;;;;;;;;
E07000192;WEST MIDLANDS;;Cannock Chase;x;x;x;x;6,92;x;x;x;x;x;x;x;x;x;x;x;x;4,39;6,30;7,53;110;;;;;;;;;;;
E07000193;WEST MIDLANDS;;East Staffordshire;x;x;x;x;7,61;x;x;x;x;x;x;x;x;x;x;x;x;2,89;7,17;8,05;120;;;;;;;;;;;
E07000194;WEST MIDLANDS;;Lichfield;x;x;x;x;7,79;x;x;x;x;x;x;x;x;x;x;x;x;2,79;7,36;8,23;130;;;;;;;;;;;
E07000195;WEST MIDLANDS;;Newcastle-under-Lyme;x;x;x;x;7,16;x;x;x;x;x;x;x;x;x;x;x;x;2,85;6,75;7,57;150;;;;;;;;;;;
E07000196;WEST MIDLANDS;;South Staffordshire;x;x;x;x;7,39;x;x;x;x;x;x;x;x;x;x;x;x;2,71;6,99;7,79;150;;;;;;;;;;;
E07000197;WEST MIDLANDS;;Stafford;x;x;x;x;7,62;x;x;x;x;x;x;x;x;x;x;x;x;2,61;7,22;8,02;170;;;;;;;;;;;
E07000198;WEST MIDLANDS;;Staffordshire Moorlands;x;x;x;x;7,88;x;x;x;x;x;x;x;x;x;x;x;x;2,46;7,49;8,27;110;;;;;;;;;;;
E07000199;WEST MIDLANDS;;Tamworth;x;x;x;x;7,23;x;x;x;x;x;x;x;x;x;x;x;x;3,55;6,70;7,77;70;;;;;;;;;;;
E10000031;WEST MIDLANDS;Warwickshire;;6,85;11,37;50,62;31,17;7,61;15,30;4,79;8,91;11,20;8,86;13,87;4,42;46,22;55,02;6,45;27,21;35,12;0,97;7,47;7,76;760;;;;;;;;;;;
E07000218;WEST MIDLANDS;;North Warwickshire;x;x;x;x;7,18;x;x;x;x;x;x;x;x;x;x;x;x;2,75;6,78;7,59;60;;;;;;;;;;;
E07000219;WEST MIDLANDS;;Nuneaton and Bedworth;x;x;x;x;7,70;x;x;x;x;x;x;x;x;x;x;x;x;2,12;7,38;8,03;140;;;;;;;;;;;
E07000220;WEST MIDLANDS;;Rugby;x;x;x;x;7,66;x;x;x;x;x;x;x;x;x;x;x;x;2,39;7,29;8,03;130;;;;;;;;;;;
E07000221;WEST MIDLANDS;;Stratford-on-Avon;x;x;x;x;7,71;x;x;x;x;x;x;x;x;x;x;x;x;1,80;7,44;7,99;200;;;;;;;;;;;
E07000222;WEST MIDLANDS;;Warwick;x;x;x;x;7,61;x;x;x;x;x;x;x;x;x;x;x;x;1,98;7,31;7,91;230;;;;;;;;;;;
E11000005;WEST MIDLANDS;West Midlands (Met County);;8,75;19,80;41,23;30,22;7,33;5,04;7,89;9,62;3,52;18,43;21,17;2,17;39,47;42,98;2,72;28,61;31,83;0,49;7,26;7,40;5 930;;;;;;;;;;;
E08000025;WEST MIDLANDS;;Birmingham;7,34;19,49;44,07;29,10;7,40;11,59;5,67;9,02;7,34;16,68;22,30;4,37;40,29;47,86;5,92;25,71;32,48;1,00;7,25;7,54;970;;;;;;;;;;;
E08000026;WEST MIDLANDS;;Coventry;7,48;18,04;46,66;27,83;7,41;12,73;5,60;9,35;9,73;14,58;21,49;4,62;42,42;50,90;7,24;23,87;31,79;1,07;7,26;7,57;710;;;;;;;;;;;
E08000027;WEST MIDLANDS;;Dudley ;8,83;21,35;39,16;30,66;7,31;13,02;6,57;11,09;8,92;17,60;25,10;5,48;34,93;43,38;5,95;27,07;34,25;1,15;7,14;7,47;780;;;;;;;;;;;
E08000028;WEST MIDLANDS;;Sandwell ;13,23;21,59;31,69;33,49;7,12;10,42;10,51;15,94;7,45;18,43;24,76;5,54;28,24;35,14;6,12;29,46;37,52;1,45;6,92;7,32;830;;;;;;;;;;;
E08000029;WEST MIDLANDS;;Solihull;6,86;17,05;44,21;31,89;7,48;12,46;5,18;8,54;8,42;14,22;19,87;4,08;40,66;47,76;5,43;28,48;35,29;0,95;7,34;7,62;900;;;;;;;;;;;
E08000030;WEST MIDLANDS;;Walsall;9,80;18,48;37,37;34,35;7,35;12,86;7,32;12,28;8,92;15,23;21,72;5,19;33,56;41,19;5,61;30,56;38,14;1,33;7,16;7,55;780;;;;;;;;;;;
E08000031;WEST MIDLANDS;;Wolverhampton;11,15;22,96;38,23;27,66;7,08;11,09;8,72;13,58;6,58;19,99;25,93;4,83;34,59;41,86;6,40;24,18;31,14;1,19;6,92;7,25;960;;;;;;;;;;;
E10000034;WEST MIDLANDS;Worcestershire;;7,98;15,55;42,74;33,73;7,54;13,45;5,87;10,09;9,12;12,76;18,34;4,91;38,61;46,87;5,76;29,90;37,55;1,11;7,37;7,70;830;;;;;;;;;;;
E07000234;WEST MIDLANDS;;Bromsgrove;x;x;x;x;7,36;x;x;x;x;x;x;x;x;x;x;x;x;3,06;6,90;7,81;130;;;;;;;;;;;
E07000235;WEST MIDLANDS;;Malvern Hills;x;x;x;x;7,54;x;x;x;x;x;x;x;x;x;x;x;x;2,42;7,17;7,91;130;;;;;;;;;;;
E07000236;WEST MIDLANDS;;Redditch;x;x;x;x;7,69;x;x;x;x;x;x;x;x;x;x;x;x;3,02;7,22;8,15;110;;;;;;;;;;;
E07000237;WEST MIDLANDS;;Worcester;x;x;x;x;7,31;x;x;x;x;x;x;x;x;x;x;x;x;2,50;6,94;7,67;140;;;;;;;;;;;
E07000238;WEST MIDLANDS;;Wychavon;x;x;x;x;7,90;x;x;x;x;x;x;x;x;x;x;x;x;2,00;7,59;8,22;170;;;;;;;;;;;
E07000239;WEST MIDLANDS;;Wyre Forest;x;x;x;x;7,41;x;x;x;x;x;x;x;x;x;x;x;x;3,16;6,94;7,88;150;;;;;;;;;;;
E12000006;EAST;;;8,53;15,69;41,69;34,09;7,51;4,30;7,81;9,25;2,86;14,81;16,57;1,48;40,48;42,90;1,79;32,90;35,29;0,36;7,46;7,57;9 960;;;;;;;;;;;
E06000055;EAST;Bedford UA;;x;x;x;x;7,58;x;x;x;x;x;x;x;x;x;x;x;x;1,75;7,32;7,84;270;;;;;;;;;;;
E06000056;EAST;Central Bedfordshire UA;;7,28;17,07;39,52;36,13;7,61;17,89;4,71;9,86;12,49;12,86;21,28;7,32;33,80;45,23;7,19;31,00;41,27;1,32;7,41;7,80;410;;;;;;;;;;;
E06000032;EAST;Luton UA;;8,76;20,93;39,85;30,45;7,34;11,94;6,71;10,82;8,13;17,58;24,28;5,03;35,91;43,80;5,88;26,93;33,98;1,07;7,19;7,50;840;;;;;;;;;;;
E06000031;EAST;Peterborough UA;;8,21;19,77;38,26;33,75;7,46;14,08;5,94;10,49;8,43;16,49;23,05;5,17;34,38;42,15;5,77;29,92;37,58;1,24;7,28;7,64;770;;;;;;;;;;;
E06000033;EAST;Southend-on-Sea UA;;9,32;15,62;41,76;33,29;7,47;12,89;6,96;11,69;9,62;12,66;18,58;4,96;37,68;45,84;6,10;29,30;37,29;1,14;7,30;7,64;750;;;;;;;;;;;
E06000034;EAST;Thurrock UA;;10,68;19,94;35,82;33,56;7,30;11,58;8,24;13,11;9,47;16,22;23,65;5,28;32,10;39,55;6,15;29,50;37,62;1,28;7,12;7,49;720;;;;;;;;;;;
E10000003;EAST;Cambridgeshire;;9,08;12,99;43,93;34,00;7,50;14,45;6,50;11,67;9,97;10,44;15,54;4,50;40,04;47,82;5,91;30,04;37,95;1,31;7,31;7,70;910;;;;;;;;;;;
E07000008;EAST;;Cambridge;x;x;x;x;7,33;x;x;x;x;x;x;x;x;x;x;x;x;2,53;6,96;7,71;150;;;;;;;;;;;
E07000009;EAST;;East Cambridgeshire;x;x;x;x;8,03;x;x;x;x;x;x;x;x;x;x;x;x;2,66;7,60;8,47;120;;;;;;;;;;;
E07000010;EAST;;Fenland;x;x;x;x;7,06;x;x;x;x;x;x;x;x;x;x;x;x;5,36;6,29;7,82;130;;;;;;;;;;;
E07000011;EAST;;Huntingdonshire;x;x;x;x;7,43;x;x;x;x;x;x;x;x;x;x;x;x;2,79;7,02;7,84;270;;;;;;;;;;;
E07000012;EAST;;South Cambridgeshire;x;x;x;x;7,77;x;x;x;x;x;x;x;x;x;x;x;x;1,70;7,50;8,03;240;;;;;;;;;;;
E10000012;EAST;Essex;;7,57;15,42;42,07;34,93;7,60;11,09;5,92;9,22;6,65;13,41;17,44;3,38;39,28;44,86;3,97;32,21;37,66;0,80;7,48;7,72;1 630;;;;;;;;;;;
E07000066;EAST;;Basildon;x;x;x;x;7,52;x;x;x;x;x;x;x;x;x;x;x;x;2,21;7,19;7,85;180;;;;;;;;;;;
E07000067;EAST;;Braintree;x;x;x;x;7,82;x;x;x;x;x;x;x;x;x;x;x;x;1,99;7,51;8,13;190;;;;;;;;;;;
E07000068;EAST;;Brentwood;x;x;x;x;7,58;x;x;x;x;x;x;x;x;x;x;x;x;3,48;7,03;8,12;80;;;;;;;;;;;
E07000069;EAST;;Castle Point;x;x;x;x;7,37;x;x;x;x;x;x;x;x;x;x;x;x;4,19;6,74;8,00;90;;;;;;;;;;;
E07000070;EAST;;Chelmsford;x;x;x;x;7,78;x;x;x;x;x;x;x;x;x;x;x;x;1,57;7,54;8,03;210;;;;;;;;;;;
E07000071;EAST;;Colchester;x;x;x;x;7,72;x;x;x;x;x;x;x;x;x;x;x;x;1,97;7,41;8,02;190;;;;;;;;;;;
E07000072;EAST;;Epping Forest;x;x;x;x;7,40;x;x;x;x;x;x;x;x;x;x;x;x;2,88;6,97;7,83;140;;;;;;;;;;;
E07000073;EAST;;Harlow;x;x;x;x;7,44;x;x;x;x;x;x;x;x;x;x;x;x;4,26;6,79;8,09;90;;;;;;;;;;;
E07000074;EAST;;Maldon;x;x;x;x;7,93;x;x;x;x;x;x;x;x;x;x;x;x;3,85;7,31;8,56;90;;;;;;;;;;;
E07000075;EAST;;Rochford;x;x;x;x;7,55;x;x;x;x;x;x;x;x;x;x;x;x;3,01;7,09;8,01;110;;;;;;;;;;;
E07000076;EAST;;Tendring;x;x;x;x;7,46;x;x;x;x;x;x;x;x;x;x;x;x;3,25;6,98;7,94;170;;;;;;;;;;;
E07000077;EAST;;Uttlesford;x;x;x;x;7,51;x;x;x;x;x;x;x;x;x;x;x;x;2,91;7,07;7,95;100;;;;;;;;;;;
E10000015;EAST;Hertfordshire ;;9,45;15,17;44,26;31,13;7,40;9,17;7,75;11,15;7,10;13,05;17,28;3,39;41,31;47,20;4,50;28,38;33,87;0,83;7,28;7,52;1 410;;;;;;;;;;;
E07000095;EAST;;Broxbourne;x;x;x;x;7,14;x;x;x;x;x;x;x;x;x;x;x;x;3,40;6,65;7,64;110;;;;;;;;;;;
E07000096;EAST;;Dacorum;x;x;x;x;7,60;x;x;x;x;x;x;x;x;x;x;x;x;2,12;7,27;7,92;180;;;;;;;;;;;
E07000097;EAST;;East Hertfordshire;x;x;x;x;7,28;x;x;x;x;x;x;x;x;x;x;x;x;2,33;6,94;7,62;190;;;;;;;;;;;
E07000098;EAST;;Hertsmere;x;x;x;x;7,12;x;x;x;x;x;x;x;x;x;x;x;x;3,28;6,64;7,59;110;;;;;;;;;;;
E07000099;EAST;;North Hertfordshire;x;x;x;x;7,53;x;x;x;x;x;x;x;x;x;x;x;x;2,14;7,21;7,85;180;;;;;;;;;;;
E07000240;EAST;;St Albans;x;x;x;x;7,16;x;x;x;x;x;x;x;x;x;x;x;x;2,57;6,79;7,52;170;;;;;;;;;;;
E07000101;EAST;;Stevenage;x;x;x;x;7,70;x;x;x;x;x;x;x;x;x;x;x;x;2,52;7,31;8,09;130;;;;;;;;;;;
E07000102;EAST;;Three Rivers;x;x;x;x;7,59;x;x;x;x;x;x;x;x;x;x;x;x;2,56;7,20;7,99;120;;;;;;;;;;;
E07000103;EAST;;Watford;x;x;x;x;7,40;x;x;x;x;x;x;x;x;x;x;x;x;3,50;6,87;7,92;100;;;;;;;;;;;
E07000241;EAST;;Welwyn Hatfield;x;x;x;x;7,50;x;x;x;x;x;x;x;x;x;x;x;x;2,37;7,14;7,85;130;;;;;;;;;;;
E10000020;EAST;Norfolk ;;8,09;16,78;39,88;35,24;7,55;11,67;6,24;9,95;7,60;14,28;19,29;3,99;36,75;43,01;4,82;31,91;38,58;0,98;7,40;7,69;1 170;;;;;;;;;;;
E07000143;EAST;;Breckland;x;x;x;x;7,46;x;x;x;x;x;x;x;x;x;x;x;x;2,25;7,12;7,79;200;;;;;;;;;;;
E07000144;EAST;;Broadland;x;x;x;x;7,45;x;x;x;x;x;x;x;x;x;x;x;x;2,18;7,13;7,78;170;;;;;;;;;;;
E07000145;EAST;;Great Yarmouth;x;x;x;x;7,76;x;x;x;x;x;x;x;x;x;x;x;x;3,19;7,26;8,26;110;;;;;;;;;;;
E07000146;EAST;;King’s Lynn and West Norfolk;x;x;x;x;7,52;x;x;x;x;x;x;x;x;x;x;x;x;2,40;7,16;7,88;200;;;;;;;;;;;
E07000147;EAST;;North Norfolk;x;x;x;x;7,43;x;x;x;x;x;x;x;x;x;x;x;x;2,96;6,99;7,87;150;;;;;;;;;;;
E07000148;EAST;;Norwich;x;x;x;x;7,49;x;x;x;x;x;x;x;x;x;x;x;x;2,68;7,09;7,89;180;;;;;;;;;;;
E07000149;EAST;;South Norfolk;x;x;x;x;7,80;x;x;x;x;x;x;x;x;x;x;x;x;2,12;7,46;8,13;170;;;;;;;;;;;
E10000029;EAST;Suffolk;;9,17;14,58;39,70;36,55;7,54;11,29;7,14;11,21;7,94;12,30;16,85;4,25;36,39;43,02;4,88;33,04;40,06;1,06;7,39;7,70;1 090;;;;;;;;;;;
E07000200;EAST;;Babergh;x;x;x;x;7,60;x;x;x;x;x;x;x;x;x;x;x;x;2,61;7,21;8,00;120;;;;;;;;;;;
E07000201;EAST;;Forest Heath;x;x;x;x;7,63;x;x;x;x;x;x;x;x;x;x;x;x;3,22;7,13;8,14;90;;;;;;;;;;;
E07000202;EAST;;Ipswich;x;x;x;x;7,27;x;x;x;x;x;x;x;x;x;x;x;x;2,37;6,93;7,61;230;;;;;;;;;;;
E07000203;EAST;;Mid Suffolk;x;x;x;x;7,45;x;x;x;x;x;x;x;x;x;x;x;x;4,01;6,85;8,05;130;;;;;;;;;;;
E07000204;EAST;;St Edmundsbury;x;x;x;x;8,00;x;x;x;x;x;x;x;x;x;x;x;x;2,16;7,65;8,34;150;;;;;;;;;;;
E07000205;EAST;;Suffolk Coastal;12,02;17,48;34,14;36,36;7,34;19,86;7,27;16,77;16,84;11,62;23,35;12,54;25,62;42,65;11,95;27,71;45,01;2,60;6,96;7,72;210;;;;;;;;;;;
E07000206;EAST;;Waveney;x;x;x;x;7,64;x;x;x;x;x;x;x;x;x;x;x;x;2,47;7,26;8,02;160;;;;;;;;;;;
E12000007;LONDON;;;8,32;18,30;42,20;31,18;7,38;3,32;7,78;8,86;2,17;17,52;19,07;1,21;41,20;43,20;1,56;30,23;32,14;0,29;7,34;7,42;13 560;;;;;;;;;;;
E13000001;LONDON;Inner London;;7,57;20,23;42,66;29,54;7,33;5,22;6,80;8,35;3,28;18,93;21,53;1,95;41,03;44,29;2,58;28,05;31,03;0,44;7,27;7,39;5 760;;;;;;;;;;;
E09000007;LONDON;;Camden;8,33;22,20;42,41;27,05;7,22;16,65;5,59;11,06;11,23;17,29;27,12;6,56;36,93;47,90;9,29;22,10;32,01;1,45;7,01;7,42;470;;;;;;;;;;;
E09000001;LONDON;;City of London;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;;;;;;;;;;;
E09000012;LONDON;;Hackney ;10,10;19,44;43,41;27,06;7,18;16,97;6,72;13,48;10,63;15,36;23,51;5,95;38,31;48,51;8,85;22,33;31,78;1,73;6,94;7,43;420;;;;;;;;;;;
E09000013;LONDON;;Hammersmith and Fulham ;9,50;18,32;38,83;33,34;7,34;18,24;6,08;12,92;12,52;13,80;22,85;6,61;33,77;43,89;7,53;28,39;38,30;1,58;7,12;7,57;470;;;;;;;;;;;
E09000014;LONDON;;Haringey;8,27;19,44;42,72;29,58;7,27;16,64;5,55;10,98;11,90;14,87;24,01;6,99;36,82;48,61;8,96;24,35;34,81;1,48;7,05;7,48;430;;;;;;;;;;;
E09000019;LONDON;;Islington;x;x;x;x;7,16;x;x;x;x;x;x;x;x;x;x;x;x;1,72;6,91;7,40;350;;;;;;;;;;;
E09000020;LONDON;;Kensington and Chelsea;8,25;15,33;44,09;32,33;7,46;18,19;5,29;11,20;11,31;11,92;18,75;5,33;39,47;48,72;6,78;28,01;36,64;1,45;7,24;7,67;580;;;;;;;;;;;
E09000022;LONDON;;Lambeth ;x;x;x;x;7,34;x;x;x;x;x;x;x;x;x;x;x;x;1,49;7,12;7,55;340;;;;;;;;;;;
E09000023;LONDON;;Lewisham ;8,97;21,53;39,07;30,43;7,23;17,70;5,84;12,11;10,67;16,99;26,06;6,73;33,88;44,25;8,41;25,38;35,48;1,67;6,99;7,47;430;;;;;;;;;;;
E09000025;LONDON;;Newham ;x;x;x;x;7,56;x;x;x;x;x;x;x;x;x;x;x;x;1,62;7,31;7,80;420;;;;;;;;;;;
E09000028;LONDON;;Southwark;8,67;16,93;42,20;32,21;7,43;15,03;6,10;11,23;9,96;13,61;20,25;5,70;37,46;46,94;6,95;27,80;36,62;1,28;7,24;7,61;550;;;;;;;;;;;
E09000030;LONDON;;Tower Hamlets;6,34;23,92;41,31;28,43;7,26;19,07;3,95;8,72;10,38;19,02;28,82;7,31;35,35;47,27;10,09;22,77;34,10;1,63;7,03;7,49;390;;;;;;;;;;;
E09000032;LONDON;;Wandsworth;x;x;x;x;7,39;x;x;x;x;x;x;x;x;x;x;x;x;1,49;7,17;7,61;360;;;;;;;;;;;
E09000033;LONDON;;Westminster;x;x;x;x;7,41;x;x;x;x;x;x;x;x;x;x;x;x;1,44;7,20;7,62;550;;;;;;;;;;;
E13000002;LONDON;Outer London;;8,82;17,01;41,90;32,28;7,42;4,28;8,07;9,56;2,89;16,04;17,97;1,53;40,64;43,16;1,96;31,04;33,52;0,39;7,36;7,47;7 810;;;;;;;;;;;
E09000002;LONDON;;Barking and Dagenham;11,27;20,84;34,75;33,14;7,24;18,43;7,17;15,37;12,00;15,90;25,78;7,15;29,84;39,66;8,04;27,88;38,41;2,09;6,94;7,54;370;;;;;;;;;;;
E09000003;LONDON;;Barnet;8,53;13,05;47,48;30,94;7,46;18,32;5,44;11,62;14,12;9,41;16,69;5,95;41,90;53,07;9,10;25,37;36,50;1,64;7,21;7,70;360;;;;;;;;;;;
E09000004;LONDON;;Bexley;8,74;20,46;37,10;33,69;7,39;15,88;6,00;11,48;11,12;15,97;24,96;7,64;31,50;42,71;7,94;28,40;38,98;1,49;7,17;7,60;400;;;;;;;;;;;
E09000005;LONDON;;Brent ;6,79;20,62;45,82;26,77;7,36;17,45;4,46;9,13;9,55;16,75;24,50;5,39;40,95;50,68;8,60;22,23;31,30;1,33;7,17;7,56;580;;;;;;;;;;;
E09000006;LONDON;;Bromley;7,64;17,81;38,75;35,80;7,48;17,86;4,95;10,33;10,05;14,28;21,34;5,92;34,23;43,27;6,53;31,19;40,41;1,52;7,26;7,71;550;;;;;;;;;;;
E09000008;LONDON;;Croydon;10,88;17,18;36,95;34,98;7,39;17,80;7,06;14,71;13,38;12,64;21,72;7,28;31,64;42,27;7,39;29,87;40,09;1,94;7,10;7,67;400;;;;;;;;;;;
E09000009;LONDON;;Ealing;x;x;x;x;7,48;x;x;x;x;x;x;x;x;x;x;x;x;1,47;7,26;7,70;390;;;;;;;;;;;
E09000010;LONDON;;Enfield;x;x;x;x;7,44;x;x;x;x;x;x;x;x;x;x;x;x;1,40;7,23;7,64;340;;;;;;;;;;;
E09000011;LONDON;;Greenwich;12,61;18,58;35,80;33,01;7,17;14,55;8,99;16,24;12,20;14,10;23,06;7,10;30,78;40,83;8,82;27,25;38,76;1,87;6,91;7,44;350;;;;;;;;;;;
E09000015;LONDON;;Harrow;x;x;x;x;7,51;x;x;x;x;x;x;x;x;x;x;x;x;1,12;7,34;7,67;540;;;;;;;;;;;
E09000016;LONDON;;Havering;9,90;19,05;40,03;31,03;7,28;15,66;6,84;12,95;11,06;14,89;23,21;6,05;35,25;44,80;7,38;26,51;35,55;1,49;7,07;7,50;430;;;;;;;;;;;
E09000017;LONDON;;Hillingdon;11,47;16,08;40,60;31,86;7,31;17,95;7,41;15,53;11,58;12,40;19,75;6,54;35,36;45,84;8,08;26,78;36,93;1,87;7,04;7,58;450;;;;;;;;;;;
E09000018;LONDON;;Hounslow;9,48;16,03;36,05;38,45;7,56;17,04;6,29;12,67;14,61;11,40;20,65;7,72;30,55;41,54;7,80;32,53;44,37;1,86;7,28;7,84;400;;;;;;;;;;;
E09000021;LONDON;;Kingston upon Thames;7,08;16,89;45,34;30,68;7,49;18,73;4,46;9,70;12,51;12,72;21,07;7,10;38,98;51,70;10,84;24,11;37,26;1,57;7,26;7,72;380;;;;;;;;;;;
E09000024;LONDON;;Merton;8,89;16,27;40,74;34,10;7,51;17,37;5,84;11,94;11,67;12,52;20,02;6,45;35,55;45,93;7,98;28,72;39,47;1,50;7,29;7,73;390;;;;;;;;;;;
E09000026;LONDON;;Redbridge;8,86;18,22;36,90;36,01;7,45;15,23;6,20;11,53;11,19;14,20;22,25;6,95;31,84;41,97;7,11;30,96;41,06;1,39;7,25;7,66;450;;;;;;;;;;;
E09000027;LONDON;;Richmond upon Thames;8,20;13,01;47,97;30,82;7,48;18,73;5,17;11,24;14,92;9,18;16,84;5,82;42,46;53,48;8,63;25,57;36,07;1,47;7,26;7,69;390;;;;;;;;;;;
E09000029;LONDON;;Sutton;x;x;x;x;7,51;x;x;x;x;x;x;x;x;x;x;x;x;1,91;7,23;7,80;300;;;;;;;;;;;
E09000031;LONDON;;Waltham Forest;10,29;16,05;37,88;35,78;7,42;19,39;6,35;14,24;17,12;10,61;21,48;8,92;31,19;44,56;9,23;29,25;42,31;2,07;7,11;7,72;320;;;;;;;;;;;
E12000008;SOUTH EAST;;;7,97;15,83;40,88;35,32;7,54;3,44;7,43;8,51;2,27;15,12;16,53;1,17;39,94;41,82;1,38;34,36;36,28;0,28;7,50;7,58;19 490;;;;;;;;;;;
E06000036;SOUTH EAST;Bracknell Forest UA;;8,23;18,87;44,84;28,06;7,33;12,53;6,20;10,26;8,06;15,88;21,86;4,25;41,09;48,59;5,85;24,83;31,29;0,96;7,19;7,46;900;;;;;;;;;;;
E06000043;SOUTH EAST;Brighton and Hove UA;;9,35;19,96;42,97;27,73;7,26;12,70;7,01;11,68;8,51;16,62;23,29;4,15;39,46;46,47;5,83;24,55;30,91;1,11;7,10;7,42;930;;;;;;;;;;;
E06000046;SOUTH EAST;Isle of Wight UA;;8,06;15,55;37,35;39,04;7,62;10,85;6,35;9,78;7,25;13,34;17,77;4,18;34,28;40,41;4,29;35,75;42,33;0,95;7,48;7,77;1 280;;;;;;;;;;;
E06000035;SOUTH EAST;Medway UA;;10,84;18,95;36,29;33,92;7,29;10,97;8,50;13,18;8,15;15,91;21,99;4,90;32,79;39,79;5,23;30,43;37,41;1,21;7,12;7,46;990;;;;;;;;;;;
E06000042;SOUTH EAST;Milton Keynes UA;;9,55;15,55;38,68;36,22;7,52;11,50;7,39;11,71;9,16;12,75;18,35;4,97;34,90;42,46;5,52;32,29;40,15;1,12;7,35;7,68;850;;;;;;;;;;;
E06000044;SOUTH EAST;Portsmouth UA;;6,81;15,82;42,99;34,38;7,60;13,99;4,94;8,69;8,85;13,07;18,57;5,06;38,71;47,27;6,04;30,30;38,47;0,97;7,45;7,74;960;;;;;;;;;;;
E06000038;SOUTH EAST;Reading UA;;5,25;17,80;46,08;30,88;7,55;13,97;3,80;6,69;7,71;15,10;20,50;4,03;42,43;49,73;5,93;27,28;34,47;0,91;7,41;7,68;970;;;;;;;;;;;
E06000039;SOUTH EAST;Slough UA;;12,07;17,70;35,63;34,60;7,27;10,59;9,56;14,58;8,85;14,62;20,78;5,69;31,64;39,61;6,07;30,47;38,73;1,39;7,07;7,47;790;;;;;;;;;;;
